name	x	y	z
A1	0.07	0.05	0.00
A2	0.07	0.05	0.02
A3	0.07	0.04	0.04
A4	0.06	0.04	0.05
A5	0.05	0.04	0.07
A6	0.03	0.04	0.07
A7	0.02	0.04	0.08
A8	0.07	0.05	-0.02
A9	0.06	0.05	0.01
A10	0.06	0.05	0.03
A11	0.06	0.05	0.04
A12	0.04	0.05	0.06
A15	0.05	0.06	-0.04
A17	0.05	0.06	0.02
A18	0.04	0.06	0.03
A19	0.03	0.06	0.05
A20	0.02	0.06	0.05
A22	0.04	0.06	-0.03
A24	0.03	0.06	0.02
A25	0.03	0.06	0.03
A28	0.03	0.06	-0.02
A30	0.01	0.07	0.02
B1	0.04	0.03	0.08
B2	0.03	0.01	0.09
B3	0.04	-0.00	0.09
B4	0.03	-0.02	0.09
B5	0.04	-0.04	0.08
B6	0.02	0.04	0.09
B7	0.01	0.02	0.09
B8	0.02	-0.00	0.10
B9	0.01	-0.02	0.09
B10	0.02	-0.04	0.09
B11	0.00	0.04	0.09
B12	-0.00	0.00	0.10
B14	-0.01	0.05	0.08
B15	-0.02	0.04	0.09
B17	-0.02	0.00	0.10
B18	-0.04	-0.02	0.10
B19	-0.02	-0.04	0.09
B20	-0.01	-0.05	0.08
B21	-0.03	0.05	0.07
B22	-0.04	0.03	0.08
B23	-0.05	0.02	0.08
B24	-0.05	0.00	0.09
B25	-0.06	-0.02	0.08
B26	-0.05	-0.04	0.08
B27	-0.03	-0.05	0.08
B28	-0.05	0.05	0.06
B29	-0.06	0.03	0.07
B30	-0.06	0.00	0.07
B31	-0.07	-0.03	0.07
B32	-0.05	-0.05	0.07
C1	-0.06	0.04	-0.08
C2	-0.07	0.02	-0.08
C4	-0.08	0.03	0.00
C6	-0.09	-0.00	0.02
C7	-0.09	-0.02	0.01
C8	-0.09	-0.03	0.01
C9	-0.07	-0.05	0.00
C10	-0.07	-0.02	-0.07
C11	-0.06	-0.03	-0.07
C12	-0.08	0.03	-0.01
C13	-0.09	0.02	-0.00
C14	-0.09	-0.00	0.00
C15	-0.09	-0.02	-0.00
C16	-0.08	-0.03	-0.01
C17	-0.07	0.04	-0.03
C18	-0.08	0.02	-0.02
C19	-0.09	-0.00	-0.01
C20	-0.08	-0.02	-0.02
C22	-0.07	0.04	-0.04
C23	-0.07	0.02	-0.04
C24	-0.08	-0.00	-0.03
C25	-0.07	-0.02	-0.04
C26	-0.07	-0.04	-0.04
C27	-0.06	0.04	-0.06
C28	-0.07	0.02	-0.06
C29	-0.07	-0.00	-0.05
C30	-0.07	-0.02	-0.05
C31	-0.06	-0.04	-0.06
C32	-0.07	-0.00	-0.06
D1	0.01	-0.05	0.08
D2	0.03	-0.05	0.07
D3	0.04	-0.05	0.06
D4	0.05	-0.05	0.05
D5	-0.00	-0.06	0.06
D6	0.02	-0.06	0.06
D7	0.03	-0.06	0.05
D8	-0.01	-0.07	0.05
D9	0.01	-0.07	0.05
D10	0.03	-0.07	0.04
D11	0.04	-0.06	0.04
D12	0.06	-0.05	0.03
D13	-0.03	-0.07	0.03
D15	0.01	-0.07	0.03
D16	0.03	-0.07	0.02
