name	x	y	z
A1	0.08	0.05	0.01
A2	0.08	0.05	0.03
A3	0.08	0.04	0.04
A4	0.07	0.04	0.06
A5	0.05	0.04	0.07
A6	0.04	0.04	0.07
A7	0.02	0.04	0.08
A8	0.07	0.06	-0.02
A9	0.06	0.06	0.01
A10	0.06	0.06	0.03
A11	0.06	0.05	0.04
A12	0.05	0.05	0.06
A13	0.03	0.05	0.06
A14	0.01	0.06	0.07
A15	0.06	0.06	-0.04
A16	0.06	0.06	-0.01
A17	0.05	0.06	0.02
A18	0.05	0.06	0.03
A19	0.04	0.06	0.05
A22	0.05	0.07	-0.03
A23	0.05	0.07	-0.00
A26	0.01	0.07	0.03
A27	-0.01	0.07	0.03
A28	0.04	0.07	-0.02
A29	0.03	0.07	-0.00
A32	-0.03	0.08	0.01
B1	0.04	0.03	0.08
B2	0.03	0.02	0.09
B3	0.04	-0.01	0.09
B4	0.03	-0.02	0.09
B5	0.04	-0.04	0.08
B6	0.02	0.03	0.08
B8	0.02	-0.00	0.10
B9	0.01	-0.02	0.10
B10	0.02	-0.04	0.09
B11	0.01	0.04	0.09
B12	0.00	0.00	0.10
B13	-0.00	-0.04	0.09
B14	-0.01	0.05	0.08
B15	-0.02	0.04	0.09
B16	-0.04	0.02	0.09
B17	-0.02	0.00	0.10
B18	-0.04	-0.02	0.09
B19	-0.03	-0.04	0.09
B20	-0.01	-0.06	0.08
B21	-0.03	0.05	0.07
B22	-0.05	0.04	0.08
B23	-0.06	0.02	0.08
B24	-0.05	0.00	0.09
B25	-0.06	-0.02	0.08
B26	-0.05	-0.04	0.08
B27	-0.04	-0.05	0.07
B28	-0.05	0.05	0.07
B29	-0.06	0.04	0.07
B30	-0.07	0.01	0.07
B31	-0.07	-0.03	0.07
B32	-0.06	-0.05	0.07
C3	-0.07	0.05	-0.01
C4	-0.09	0.04	-0.00
C5	-0.10	0.02	0.01
C6	-0.10	0.01	0.01
C7	-0.10	-0.01	0.00
C8	-0.09	-0.03	-0.00
C9	-0.08	-0.04	-0.01
C10	-0.06	-0.01	-0.08
C11	-0.05	-0.03	-0.08
C12	-0.08	0.04	-0.02
C13	-0.09	0.03	-0.01
C14	-0.10	0.01	-0.01
C15	-0.10	-0.01	-0.01
C16	-0.09	-0.03	-0.02
C17	-0.07	0.04	-0.03
C18	-0.09	0.02	-0.03
