onset	duration	sample	trial_type	response_time	stim_file	value	HED
0.0000000000	0.0000000000	n/a	n/a	n/a	n/a	FeelingItInstructionsButton	n/a
7.1289062500	0.0000000000	n/a	n/a	n/a	n/a	InitialInstructions	n/a
107.1289062500	0.0000000000	n/a	n/a	n/a	n/a	prebase_instruct	n/a
117.5742187500	0.0000000000	n/a	n/a	n/a	n/a	prebase	n/a
237.5742187500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
237.6289062500	0.0000000000	n/a	n/a	n/a	n/a	FeelingItInstructionsNoButton	n/a
273.5585937500	0.0000000000	n/a	n/a	n/a	n/a	InstructionsForEnding	n/a
337.6093750000	0.0000000000	n/a	n/a	n/a	n/a	relax	n/a
623.3750000000	0.0000000000	n/a	n/a	n/a	n/a	ImaginationSuggestions	n/a
684.9804687500	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
694.6328125000	0.0000000000	n/a	n/a	n/a	n/a	awe	n/a
725.8398437500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
1006.7070312500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
1064.6835937500	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
1074.3359375000	0.0000000000	n/a	n/a	n/a	n/a	fear	n/a
1329.0117187500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
1528.4140625000	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
1585.9921875000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
1595.6445312500	0.0000000000	n/a	n/a	n/a	n/a	joy	n/a
1866.5117187500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
1988.5234375000	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
2045.1132812500	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
2054.7695312500	0.0000000000	n/a	n/a	n/a	n/a	jealousy	n/a
2286.5039062500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
2508.2656250000	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
2565.8398437500	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
2575.4921875000	0.0000000000	n/a	n/a	n/a	n/a	excite	n/a
2619.3242187500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
3013.8437500000	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
3071.4218750000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
3081.0742187500	0.0000000000	n/a	n/a	n/a	n/a	disgust	n/a
3275.4414062500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
3462.2382812500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
3519.8281250000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
3529.4843750000	0.0000000000	n/a	n/a	n/a	n/a	love	n/a
3723.6796875000	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
3831.7148437500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
3889.3046875000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
3898.9570312500	0.0000000000	n/a	n/a	n/a	n/a	grief	n/a
4022.5664062500	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
4238.7695312500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
4296.3593750000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
4306.0117187500	0.0000000000	n/a	n/a	n/a	n/a	content	n/a
4416.7812500000	0.0000000000	n/a	n/a	n/a	n/a	press1	n/a
4468.9960937500	0.0000000000	n/a	n/a	n/a	n/a	exit	n/a
4526.5703125000	0.0000000000	n/a	n/a	n/a	n/a	enter	n/a
4536.2226562500	0.0000000000	n/a	n/a	n/a	n/a	frustration	n/a
