name	x	y	z
A4	0.06	0.05	0.06
A5	0.04	0.05	0.07
A6	0.03	0.05	0.08
A7	0.01	0.05	0.08
A12	0.03	0.06	0.06
A13	0.02	0.06	0.07
A14	0.00	0.06	0.07
A18	0.03	0.07	0.04
A19	0.02	0.07	0.05
A20	0.01	0.07	0.05
A21	-0.01	0.07	0.05
A30	0.00	0.08	0.03
A31	-0.02	0.08	0.02
B1	0.03	0.04	0.09
B2	0.03	0.02	0.10
B3	0.04	0.00	0.10
B4	0.03	-0.01	0.10
B5	0.04	-0.03	0.09
B6	0.02	0.04	0.09
B7	0.01	0.02	0.10
B8	0.02	0.00	0.10
B9	0.01	-0.01	0.10
B10	0.02	-0.03	0.09
B11	-0.00	0.04	0.09
B12	0.00	0.01	0.10
B13	0.00	-0.03	0.09
B14	-0.01	0.05	0.08
B16	-0.03	0.02	0.10
B17	-0.02	0.00	0.10
B18	-0.04	-0.02	0.10
B19	-0.02	-0.04	0.09
B20	-0.01	-0.05	0.08
B21	-0.04	0.06	0.08
B22	-0.05	0.04	0.09
B23	-0.06	0.02	0.09
B24	-0.05	0.00	0.09
B25	-0.06	-0.02	0.09
B26	-0.04	-0.04	0.09
B27	-0.03	-0.05	0.08
B28	-0.06	0.05	0.07
B30	-0.07	0.00	0.08
B31	-0.07	-0.03	0.08
B32	-0.05	-0.05	0.07
C4	-0.09	0.04	0.01
C5	-0.10	0.02	0.02
C6	-0.10	-0.00	0.03
C7	-0.10	-0.02	0.02
C8	-0.09	-0.04	0.01
C9	-0.08	-0.05	0.00
C15	-0.10	-0.02	-0.00
C18	-0.09	0.01	-0.02
C19	-0.10	-0.00	-0.01
C22	-0.08	0.04	-0.04
C27	-0.07	0.04	-0.06
C31	-0.07	-0.04	-0.06
C32	-0.08	-0.00	-0.06
D1	0.01	-0.05	0.08
D2	0.03	-0.05	0.08
D3	0.05	-0.05	0.07
D4	0.06	-0.05	0.06
D5	0.00	-0.06	0.07
D6	0.02	-0.06	0.07
D7	0.04	-0.06	0.06
D8	-0.01	-0.07	0.06
D10	0.03	-0.07	0.05
D11	0.05	-0.06	0.05
D14	-0.00	-0.08	0.04
D15	0.02	-0.07	0.04
D16	0.04	-0.07	0.03
D17	0.06	-0.06	0.03
D18	0.07	-0.05	0.03
D20	-0.01	-0.08	0.03
D21	0.00	-0.08	0.03
D22	0.02	-0.07	0.02
D26	0.02	-0.08	0.00
D31	0.03	-0.07	-0.03
E2	-0.05	-0.07	0.01
E8	-0.06	-0.05	-0.04
E10	-0.05	-0.05	-0.06
E18	0.03	-0.07	-0.06
E19	0.04	-0.07	-0.06
E20	0.06	-0.07	-0.04
E31	-0.07	-0.06	0.02
E32	-0.06	-0.07	0.02
F3	-0.07	0.05	0.06
F4	-0.08	0.04	0.06
F6	-0.08	-0.00	0.06
F7	-0.08	-0.02	0.07
F8	-0.08	-0.03	0.06
F10	-0.04	-0.06	0.07
F11	-0.02	-0.06	0.07
F12	-0.04	-0.07	0.04
F13	-0.03	-0.07	0.06
F14	-0.06	-0.06	0.05
F15	-0.08	-0.05	0.05
F16	-0.09	-0.03	0.04
F17	-0.09	-0.02	0.05
F18	-0.09	-0.00	0.04
F19	-0.09	0.02	0.05
F20	-0.09	0.03	0.04
F21	-0.07	0.05	0.04
F22	-0.05	0.06	0.05
F23	-0.03	0.07	0.05
F26	-0.08	0.05	0.03
F27	-0.09	0.03	0.02
F28	-0.09	0.01	0.04
F29	-0.09	-0.02	0.03
F30	-0.08	-0.05	0.03
F31	-0.06	-0.06	0.04
G2	0.04	0.07	-0.05
G20	-0.04	0.06	-0.05
G22	-0.05	0.07	-0.02
G24	-0.05	0.07	-0.00
G25	-0.07	0.06	-0.00
G27	-0.07	0.05	-0.03
G30	-0.05	0.05	-0.06
H1	0.06	-0.03	0.08
H2	0.05	-0.01	0.09
H3	0.06	0.00	0.09
H4	0.05	0.02	0.09
H5	0.05	0.04	0.08
H6	0.06	0.03	0.08
H7	0.08	0.00	0.08
H8	0.07	-0.01	0.08
H9	0.07	-0.03	0.07
H10	0.08	-0.02	0.07
H11	0.08	-0.04	0.06
H12	0.09	-0.02	0.05
H13	0.09	0.01	0.06
H14	0.08	0.02	0.07
H15	0.06	0.04	0.07
H16	0.09	0.03	0.05
H17	0.08	0.04	0.06
H22	0.10	0.01	0.05
