name	type	units
A4	EEG	microV
A5	EEG	microV
A6	EEG	microV
A7	EEG	microV
A12	EEG	microV
A13	EEG	microV
A14	EEG	microV
A18	EEG	microV
A19	EEG	microV
A20	EEG	microV
A21	EEG	microV
A30	EEG	microV
A31	EEG	microV
B1	EEG	microV
B2	EEG	microV
B3	EEG	microV
B4	EEG	microV
B5	EEG	microV
B6	EEG	microV
B7	EEG	microV
B8	EEG	microV
B9	EEG	microV
B10	EEG	microV
B11	EEG	microV
B12	EEG	microV
B13	EEG	microV
B14	EEG	microV
B16	EEG	microV
B17	EEG	microV
B18	EEG	microV
B19	EEG	microV
B20	EEG	microV
B21	EEG	microV
B22	EEG	microV
B23	EEG	microV
B24	EEG	microV
B25	EEG	microV
B26	EEG	microV
B27	EEG	microV
B28	EEG	microV
B30	EEG	microV
B31	EEG	microV
B32	EEG	microV
C4	EEG	microV
C5	EEG	microV
C6	EEG	microV
C7	EEG	microV
C8	EEG	microV
C9	EEG	microV
C15	EEG	microV
C18	EEG	microV
C19	EEG	microV
C22	EEG	microV
C27	EEG	microV
C31	EEG	microV
C32	EEG	microV
D1	EEG	microV
D2	EEG	microV
D3	EEG	microV
D4	EEG	microV
D5	EEG	microV
D6	EEG	microV
D7	EEG	microV
D8	EEG	microV
D10	EEG	microV
D11	EEG	microV
D14	EEG	microV
D15	EEG	microV
D16	EEG	microV
D17	EEG	microV
D18	EEG	microV
D20	EEG	microV
D21	EEG	microV
D22	EEG	microV
D26	EEG	microV
D31	EEG	microV
E2	EEG	microV
E8	EEG	microV
E10	EEG	microV
E18	EEG	microV
E19	EEG	microV
E20	EEG	microV
E31	EEG	microV
E32	EEG	microV
F3	EEG	microV
F4	EEG	microV
F6	EEG	microV
F7	EEG	microV
F8	EEG	microV
F10	EEG	microV
F11	EEG	microV
F12	EEG	microV
F13	EEG	microV
F14	EEG	microV
F15	EEG	microV
F16	EEG	microV
F17	EEG	microV
F18	EEG	microV
F19	EEG	microV
F20	EEG	microV
F21	EEG	microV
F22	EEG	microV
F23	EEG	microV
F26	EEG	microV
F27	EEG	microV
F28	EEG	microV
F29	EEG	microV
F30	EEG	microV
F31	EEG	microV
G2	EEG	microV
G20	EEG	microV
G22	EEG	microV
G24	EEG	microV
G25	EEG	microV
G27	EEG	microV
G30	EEG	microV
H1	EEG	microV
H2	EEG	microV
H3	EEG	microV
H4	EEG	microV
H5	EEG	microV
H6	EEG	microV
H7	EEG	microV
H8	EEG	microV
H9	EEG	microV
H10	EEG	microV
H11	EEG	microV
H12	EEG	microV
H13	EEG	microV
H14	EEG	microV
H15	EEG	microV
H16	EEG	microV
H17	EEG	microV
H22	EEG	microV
