name	x	y	z
A2	0.07	0.05	0.06
A3	0.07	0.05	0.07
A4	0.06	0.04	0.09
A5	0.05	0.04	0.10
A6	0.03	0.05	0.11
A7	0.01	0.05	0.11
A8	0.06	0.06	0.01
A9	0.05	0.06	0.04
A10	0.05	0.06	0.06
A11	0.05	0.06	0.08
A12	0.04	0.06	0.09
A13	0.02	0.06	0.10
A14	0.00	0.06	0.11
A15	0.04	0.07	-0.01
A16	0.05	0.07	0.02
A17	0.04	0.07	0.05
A18	0.04	0.07	0.07
A19	0.03	0.06	0.08
A21	-0.01	0.07	0.09
A22	0.03	0.07	0.01
A23	0.03	0.07	0.03
A24	0.02	0.07	0.05
A25	0.02	0.07	0.07
A26	0.00	0.08	0.07
A27	-0.02	0.08	0.07
A28	0.02	0.07	0.02
A29	0.02	0.07	0.03
A30	0.01	0.08	0.06
A31	-0.01	0.08	0.06
A32	-0.04	0.08	0.06
B1	0.04	0.03	0.12
B2	0.03	0.02	0.13
B3	0.04	-0.00	0.13
B4	0.03	-0.02	0.13
B5	0.04	-0.04	0.12
B6	0.02	0.03	0.12
B7	0.02	0.02	0.13
B8	0.02	0.00	0.13
B9	0.01	-0.02	0.13
B10	0.02	-0.04	0.12
B11	0.00	0.04	0.12
B12	0.00	0.00	0.14
B13	-0.00	-0.04	0.13
B14	-0.01	0.05	0.11
B15	-0.02	0.04	0.13
B16	-0.03	0.02	0.13
B17	-0.02	0.01	0.14
B18	-0.04	-0.02	0.13
B19	-0.03	-0.04	0.13
B20	-0.01	-0.05	0.12
B21	-0.03	0.05	0.11
B22	-0.04	0.04	0.12
B23	-0.06	0.02	0.13
B24	-0.05	0.00	0.13
B25	-0.06	-0.02	0.13
B26	-0.05	-0.04	0.13
B27	-0.04	-0.05	0.12
B28	-0.05	0.05	0.11
B29	-0.07	0.04	0.11
B30	-0.07	0.00	0.12
B31	-0.07	-0.03	0.11
B32	-0.06	-0.05	0.11
C2	-0.09	0.03	-0.04
C3	-0.08	0.05	0.04
C4	-0.09	0.04	0.05
C5	-0.10	0.02	0.06
C6	-0.10	0.00	0.07
C7	-0.10	-0.01	0.06
C8	-0.10	-0.03	0.05
C9	-0.09	-0.04	0.04
C10	-0.09	-0.01	-0.03
C13	-0.10	0.02	0.04
C14	-0.11	0.00	0.05
C15	-0.11	-0.01	0.04
C16	-0.10	-0.03	0.03
C17	-0.09	0.04	0.02
C18	-0.10	0.02	0.02
C19	-0.10	0.00	0.03
C20	-0.10	-0.01	0.02
C21	-0.10	-0.03	0.02
C22	-0.09	0.04	-0.00
C23	-0.10	0.03	0.00
C24	-0.10	0.00	0.01
C25	-0.10	-0.01	0.00
C28	-0.09	0.03	-0.02
C29	-0.10	0.00	-0.01
C30	-0.10	-0.01	-0.01
C31	-0.09	-0.03	-0.02
C32	-0.09	0.00	-0.02
D1	0.01	-0.05	0.12
D2	0.03	-0.05	0.11
D3	0.04	-0.05	0.10
D4	0.05	-0.05	0.08
D5	-0.01	-0.06	0.10
D6	0.01	-0.06	0.10
D7	0.03	-0.06	0.09
D9	-0.00	-0.07	0.08
D10	0.02	-0.07	0.08
D11	0.04	-0.06	0.07
D12	0.06	-0.05	0.07
D13	-0.04	-0.07	0.08
D14	-0.02	-0.08	0.07
D15	0.00	-0.07	0.07
D17	0.04	-0.06	0.06
D19	-0.05	-0.07	0.06
D20	-0.03	-0.08	0.06
D21	-0.01	-0.08	0.05
D22	0.01	-0.07	0.05
D23	0.03	-0.07	0.04
D24	0.04	-0.07	0.03
D25	0.05	-0.06	0.04
D27	0.01	-0.07	0.03
D29	0.04	-0.07	0.01
D30	0.00	-0.07	0.00
D31	0.02	-0.07	-0.00
E2	-0.06	-0.07	0.05
E4	-0.09	-0.05	0.03
E6	-0.08	-0.05	0.01
E7	-0.06	-0.06	0.01
E8	-0.08	-0.05	-0.01
E9	-0.06	-0.06	-0.02
E10	-0.07	-0.05	-0.03
E11	-0.05	-0.06	-0.04
E12	-0.07	-0.05	-0.05
E16	-0.01	-0.06	-0.03
E17	0.00	-0.07	-0.02
E18	0.01	-0.07	-0.03
E19	0.03	-0.06	-0.04
E20	0.04	-0.07	-0.02
E21	0.00	-0.06	-0.04
E22	0.02	-0.06	-0.05
E23	0.03	-0.05	-0.06
E24	0.04	-0.06	-0.04
E25	-0.01	-0.06	-0.05
E26	0.00	-0.05	-0.06
E27	0.01	-0.05	-0.07
E28	-0.03	-0.06	-0.06
E29	-0.01	-0.06	-0.07
E30	0.00	-0.05	-0.08
E31	-0.08	-0.05	0.06
E32	-0.07	-0.06	0.06
F1	-0.02	0.06	0.10
F2	-0.04	0.06	0.10
F3	-0.06	0.05	0.10
F5	-0.08	0.02	0.11
F6	-0.08	0.00	0.10
F7	-0.08	-0.01	0.11
F8	-0.08	-0.03	0.10
F9	-0.07	-0.05	0.10
F10	-0.05	-0.06	0.11
F11	-0.03	-0.06	0.11
F12	-0.06	-0.07	0.08
F13	-0.04	-0.07	0.09
F14	-0.06	-0.06	0.09
F15	-0.08	-0.04	0.09
F16	-0.09	-0.03	0.08
F17	-0.09	-0.01	0.09
F18	-0.10	0.00	0.08
F19	-0.09	0.02	0.09
